"","x"
"1545","Oke"
"1546","Good"
"1547","Ok"
"1548","Ok"
"1549","Nice app"
"1550","Bisa pesan dulu baru bayar nanti hebat"
"1551","mantap"
"1552","Cepat dan bagus Ok"
"1553","Good"
"1554","Mantul"
"1555","Mantap"
"1556","Saya sudah Transfer via virtual account ,.. tapi belum ada konfirmasi lebih dari 60 menit... Terus gimana ?"
"1557","Oyo mantap..harga murah"
"1558","User friendly,pertahankan"
"1559","Sangat membantu sekali. Terimakasih banyak."
"1560","😁"
"1561","Bagus"
"1562","Murah"
"1563","Good"
"1564","Balikiin duit gue woy . Anjing emang ni apk"
"1565","Oke"
"1566","Nyaman dan seru"
"1567","Mantul"
"1568","bagus, sesuai harapan, makasih oyo"
"1569","Mantull"
"1570","Ya harga jadi murah dgn kwalitas yg sangat bagus"
"1571","Mantap murah murah.tapi belum tau cara makai nya gmna"
"1572","Oke"
"1573","Good"
"1574","Manrap"
"1575","Oke banget"
"1576","😍"
"1577","Beneran sih, beneran atau gak hotel harganya 18.000"
"1578","Harga bersahabat, pas di kantong.. Tp mohon pelayanan hotel dimaksimalkan lagi.. Dan jg promo nya di tambahin dong. Satu lg poin yg d dpet cb bs digunain semua jadi kn kita bisa gratis nginep nya"
"1579","Dapetin hadiah nya gk dapet dapet"
"1580","Y."
"1581","Terbaikkkk😍😍😍"
"1582","Susah daftar nya"
"1583","Keren"
"1584","Mantap"
"1585","Good service"
"1586","oke"
"1587","Kalo melihat hasil ulasan, yang rata2 punya pengalaman yg sangat buruk dengan aplikasi ini, sepertinya saya akan membatalakan menggunakan aplikasi ini. Dan dari sekian ulasana yg sangat buruk ini,tidak ada konfmasi jg dari OYO yg d komen hanya yg ksh rating bagus saja. Ini menambah yakin kalo aplika...Ulasan LengkapKalo melihat hasil ulasan, yang rata2 punya pengalaman yg sangat buruk dengan aplikasi ini, sepertinya saya akan membatalakan menggunakan aplikasi ini. Dan dari sekian ulasana yg sangat buruk ini,tidak ada konfmasi jg dari OYO yg d komen hanya yg ksh rating bagus saja. Ini menambah yakin kalo aplikasi ini sangat tidak direkomendasi."
"1588","Gg"
"1589","Ok"
"1590","Ok bingit"
"1591","Good hotel"
"1592","Oke"
"1593","Nice banyak promonya juga"
"1594","SAYA SANGAT MENYESAL PESAN LEWAT APPLIKASI INI,SAYA SUDAH TRANSFER KE ATM BNI MELALUI REKENING OYOROOMS TAPI BELUM TERKONFIRMASI DIHOTEL TRUS SAYA LIHAT APPLIKASI OYO PEMESANAN SAYA DIBATALKAN DAN UANG YG SAYA TRANSFER TIDAK KEMBALI. SAYA SANGAT MENYESAL MENGGUNAKAN APPLIKASI INI"
"1595","Dahsyat!!"
"1596","Aplikasi tipu, Abal"" ,jgn di download, percuma dapat poin banyak, ga' bakalan bisa di tukarkan, bukti nyata, layanan CS nya ga' ada di app ini, jelas penipuan"
"1597","Baik dan membantu oencatian akomodasi"
"1598","Baik sekali"
"1599","Harga terjangkau"
"1600","👌"
"1601","Mantap"
"1602","Sip. Mantap......makasih"
"1603","Buruan donwload gak bakalan nyesal, apa apa gampang di OYO!!!! Oh iya jangan lupa masukin koderefferal : RIZKYLAQJ di pendaftaran pertama kalian guys !!! Terimakasih."
"1604","Oke"
"1605","Terbaik"
"1606","Puas banget, sering2 adain promonya yaa yo😉"
"1607","Ok"
"1608","Wuennaakk"
"1609","Pelayanan.mhn dgn.baik"
"1610","good"
"1611","Good"
"1612","Itu cara ngegunain oyo poinnya gimana? Aku udh undngn tmen dan udh kekumpul juga oyo pointnya tpi gk bisa di pakek"
"1613","Mantap"
"1614","Oyo poin sudah 40.000 tapi gk bisa digunakan,trus fungsi oyo poin buat apa ?gk jelas"
"1615","Sangat nyaman"
"1616","Mantaap...terbantu"
"1617","Service terhadap user sangat memuaskan. Fasilitas yang diberikan berfungsi dengan baik semua. Good choice 👍"
"1618","Hahahahaaa lucu yaa aplikasinya. Baru aja gua download dan install eh minta update setelah install.....wkwkkkk"
"1619","Mantap"
"1620","Puas"
"1621","Sangat memudahkan"
"1622","Klo org dah bayar harus ada bukti pembayaran dong cari uang yg benar2 aja"
"1623","Helpfull"
"1624","Pelayanan oke"
"1625","Terbaik"
"1626","Coba"
"1627","KEMBALIKAN UANG SAYA, saya tidak membatalkan pesanan tapi kenapa tiba terbatalkan beberapa setelah saya transfer dan sampai di hotel dan uang saya hangus. JANGAN JADI MALING"
"1628","Kecewa, pelayanannya tidak baik dan aplikasi promonya penipuan"
"1629","cantik"
"1630","Mantaaaaap....."
"1631","Ok"
"1632","Terlalu mahal"" , lebih enak reddoor lebih terjangkau Makasih 🙏"
"1633","Penipuan, hati*"
"1634","Bagus"
"1635","Good"
"1636","Nice"
"1637","Bagus"
"1638","Keren..."
"1639","Oyo sangat tidak profesional, saya sudah pesan dan membayar , uang saya tidak kembali dan saya di block oleh admin oyo nya .. Sangat kecewa"
"1640","Terbaik"
"1641","Kok lokasi mataram gaada"
"1642","Mantul"
"1643","Sangat mudah dan membantu"
"1644","Ok room dn rate"
"1645","Oke"
"1646","Bbrp bln lalu pernah stay disini"
"1647","Oke"
"1648","2 dulu"
"1649","Bagus"
"1650","good"
"1651","Saya ingin yg terbaik"
"1652","masih banyak yang harus ditingkatkan"
"1653","mantapppp"
"1654","Aplikasi mudah dan cepat"
"1655","Terbaik"
"1656","Mohon untuk menambahkan kota makassar di berburu hotel oyo di mohonkan untuk tidak mencabut makassar untuk seterusnya dari diskon tersebut, mohon tambahkan kota makassar untuk di berburu hotel OYO dan jga kok sekarang agak pelit banyak kota yang dicabut dari diskon tersebut dan kemudian vouchernya m...Ulasan LengkapMohon untuk menambahkan kota makassar di berburu hotel oyo di mohonkan untuk tidak mencabut makassar untuk seterusnya dari diskon tersebut, mohon tambahkan kota makassar untuk di berburu hotel OYO dan jga kok sekarang agak pelit banyak kota yang dicabut dari diskon tersebut dan kemudian vouchernya makin sedikit mohon bantuannya OYO."
"1657","Ok"
"1658","OYO, PENGALAMAN CS TERBURUK YANG PERNAH SAYA TERIMA, SELAMA SAYA MENGGUNAKAN APLIKASI BOOKING PENGINAPAN SECARA ONLINE. SUNGGUH SUNGGUH SANGAT MEMBUAT KECEWA, BAHKAN SAKIT HATI, KARENA TELAH DIJADIKAN KORBAN ATAS KESALAHAN TIM OYO DALAM MEMAHAMI RULES HOTEL MEREKA. SUNGGUH TEGANYA TEGANYA TEGANYA. S...Ulasan LengkapOYO, PENGALAMAN CS TERBURUK YANG PERNAH SAYA TERIMA, SELAMA SAYA MENGGUNAKAN APLIKASI BOOKING PENGINAPAN SECARA ONLINE. SUNGGUH SUNGGUH SANGAT MEMBUAT KECEWA, BAHKAN SAKIT HATI, KARENA TELAH DIJADIKAN KORBAN ATAS KESALAHAN TIM OYO DALAM MEMAHAMI RULES HOTEL MEREKA. SUNGGUH TEGANYA TEGANYA TEGANYA. SANGAT MENYEDIHKAN!"
"1659","Hotelnya Bagus"
"1660","PENYESALAN TERBESAR SAYA SELAMA SAYA MENGGUNAKAN APLIKASI UNTUK MENGINAP, IALAH DENGAN OYO HOTEL. 1. KETIKA ADA KENDALA, TIM HOTEL TIDAK RESPONSIF 2. KETIKA ADA KOMPLAIN KE OYO, DAN ADA KESALAHAN DI INTERNAL OYO, CUSTOMER LAH YANG AKAN DIKORBANKAN. BAHKAN, KOMPLAIN SAYA SEJAK 27 OKTOBER HINGGA SEKAR...Ulasan LengkapPENYESALAN TERBESAR SAYA SELAMA SAYA MENGGUNAKAN APLIKASI UNTUK MENGINAP, IALAH DENGAN OYO HOTEL. 1. KETIKA ADA KENDALA, TIM HOTEL TIDAK RESPONSIF 2. KETIKA ADA KOMPLAIN KE OYO, DAN ADA KESALAHAN DI INTERNAL OYO, CUSTOMER LAH YANG AKAN DIKORBANKAN. BAHKAN, KOMPLAIN SAYA SEJAK 27 OKTOBER HINGGA SEKARANG, TIDAK ADA KABAR, DAN TIKET DITUTUP SEPIHAK OLEH OYO. BAIK PIHAK PENGINAPAN MAUPUN PIHAK OYO, TIDAK ADA SATUPUN YANG MAU BERTANGGUNG JAWAB. SAYA YANG DIKORBANKAN."
"1661","Maaf mau nanya, ini kok ada orang yg mesan hotel di luar negeri dengan mata uang asing menggunakan akun saya? Pemesanan atas nama Ritu akan tetapi emailnya masuk ke saya. Pemesanan untuk tanggal 15-16 di hotel daerah bangalore yg saya sendiri gktau dimana. Login menggunakan nomor hp atau email dan s...Ulasan LengkapMaaf mau nanya, ini kok ada orang yg mesan hotel di luar negeri dengan mata uang asing menggunakan akun saya? Pemesanan atas nama Ritu akan tetapi emailnya masuk ke saya. Pemesanan untuk tanggal 15-16 di hotel daerah bangalore yg saya sendiri gktau dimana. Login menggunakan nomor hp atau email dan saya yakin email saya bebas dari hack baik phising dan sebagainya. Mohon konfirmasinya karena bisa merugikan saya."
"1662","Ok"
"1663","nice booke and get great room"
"1664","Aplikasi nya kurang lrngkap hanya menampilan kan bayar nya aja gambar2 untuk pertimbangan tidak ada,"
"1665","Bagus"
"1666","Mantap"
"1667","Sangat murah"
"1668","Iya hrg tdk sm kualitas kmr nya.. Sower ny mati n berkrat lgi.. Enak di airy"
"1669","Bagus"
"1670","Nice"
"1671","Joos aplikasi nya"
"1672","Mantap"
"1673","Keren"
"1674","Bagus"
"1675","Luar biasa Perjalanan yang menarik dan luar biasa, dapat penginapan yg keren juga"
"1676","Baik"
"1677","Disc nya ok"
"1678","Hotel berkualitas dengan harga terjangkau !!"
"1679","Susah untuk log in,udh log in dr whatsapp jg ga bisa2..Udh dftr pake no hp jg ga bisa2..Mohon bantuan nya.."
"1680","Nub"
"1681","Keren"
"1682","Penipu"
"1683","Baru pertama kali pakai aplikasi"
"1684","Mantep"
"1685","Gmn sih aplikasinya nih... Buat geram, disuruh masukan nomor, udh di masukan nomor malah tidak bisa masuk lebih dari 2 perangkat... Padahal nomor baru registrasi... Udh nunggu kode otp nya lama lg... Perbaikin tu apk nya, yg jelas sikit.. !!!"
"1686","Cepat dan lengkap"
"1687","Pelayanan yg baik dan harga yg terjangkau."
"1688","NAUFMMJBLX masukan kode promo ini!!"
"1689","Enak"
"1690","Ok"
"1691","Sangat memantu"
"1692","Tremigo rapih bersih"
"1693","Mantap"
"1694","👍🏿"
"1695","Yoookk dklik RAJADAR56"
"1696","Hebat"
"1697","Lumayan"
"1698","Aplikasi sampah udah di transfer otp buat vefikasi pendaftaran gak masuk. Uang saya sudah terpotong lagi. Sampah. Jangn percaya promonya. Jangan ada lagi yang download aplikasi ini. Aplikasi penipuan."
"1699","Mantap"
"1700","Good"
"1701","Sgt membantu"
"1702","Pemesanan kamar hotel cepat! 👍👍"
"1703","OYO memberikan kemudahan dalam mencari hotel sesuai dengan kapasitas pembayaran yg mudah di jangkau...perfect !!!"
"1704","Ok"
"1705","Aplikasi keren, masukan kode FAHRBMMY9 saat pendaftaran ya untuk dapetin bonusnya..."
"1706","Good"
"1707","Lumayan, belum sempurna harys banyak perbaikan dalam pelayanan"
"1708","Soooo bad ini aplikasi. Sudah melakukan pembayaran tapi di hotel malah pembayaran blm terkonfirmasi Setelah di cancle uang mendem sampe sekarang gak ada kejelasan. KAPOOOOOK"
"1709","Luar biasa"
"1710","Bagus"
"1711","kita udah bayar 1 bulan tapi belum ada 1 bulan sisa 11 hari kita sudah di paksa keluar dengan alasan yang tidak jelas dan yang lebih parah nya lagi sisa uang pembayaran 11 hari nya tidak di kembalikan penuh..maling keringat orang"
"1712","Makun kedepan makin gak jls oyo grub ini. Kalo ngerasa rugi bikin promote jgn bikin promote.Harga hotel permalam gk sesuai dgn fasilitas.Kos2an biasa dijadikan hotel oyo harga permalam pun bs smpai 200 ribu lebih,bagus airy dan reed door lah kalo kek gini Jauh fasilitas diatas oyo dan harga mereka j...Ulasan LengkapMakun kedepan makin gak jls oyo grub ini. Kalo ngerasa rugi bikin promote jgn bikin promote.Harga hotel permalam gk sesuai dgn fasilitas.Kos2an biasa dijadikan hotel oyo harga permalam pun bs smpai 200 ribu lebih,bagus airy dan reed door lah kalo kek gini Jauh fasilitas diatas oyo dan harga mereka juga dibawah oyo. Ada yg gak nyampe 100ribu permalam pelayanannya bagus.Bikin promote 17ribu to harga mksimal hotel 200ribu.Sdgkn hotel grub ini rata2 duatas 200ribu sama aja boong promote kalian"
"1713","Top"
"1714","keren"
"1715","Nyaman"
"1716","hidup oyo !!!!"
"1717","Ga bisa Reedem Point???? Aplikasi ga sesuai ekspektasi"
"1718","Aplikasi ini sangat bagus sekali utk cari hotel yg murah."
"1719","Nyesel parah booking hotel pakai aplikasi ini.. udah transfer tp di aplikasi masih statusnya harus di bayar.. tau² cancle, telp cs di bilang ngak bisa di kembalikan uangnya.. 500rb melayang tanpa kejelasan.. mending pakai aplikasi lain!!"
"1720","Benaran diskon"
"1721","Ok"
"1722","Selalu mendapatkan Penginapan sesuai ekspektasi Foto"
"1723","Mantap"
"1724","Goood"
"1725","Mantap,semoga sukses selalu"
"1726","Luar biasa baru kali ada aplikasi yg super"
"1727","Bagus"
"1728","Mantap"
"1729","Puassss"
"1730","Hotelx nyaman, bagus , kmr sesuai Di gmbar, bersih, layananx juga sgat Ramah,, hrga juga sgat mrah bgett lwt apliksih oyo gk ngras kantong dech poker,,"
"1731","Sumpah ini app keren kali adaaahhh"
"1732","Seperti menarik coba mengunkan oyo... ya usul aja cepat beri cradit ya"
"1733","Payah . Kode voucher banyak yg ga bs"
"1734","Keren"
"1735","Murah sih....hanya saja yg promo 17,,harusnya ada d semua kota seperti sukabumi, cianjur,cirebon, karawang,dll"
"1736","dua saja. baru mencoba"
"1737","Saya kasih bintang 4 saran saya oyo yg 99 harus di adain tiap bulan karna lebih rekomend bngt"
"1738","Good"
"1739","Terbaik"
"1740","Sagat bagus"
"1741","Nyaman aman n baik"
"1742","Mantap"
"1743","Siap menjadi langganan"
"1744","Kereeen"
"1745","Oc"
"1746","Mantap"
"1747","Good"
"1748","Nice App"
"1749","Mantapp"
"1750","Saya sangat terbantu dengan app OYO, pesan hotel ga pake ribet tinggal klik. Tp saat sesudah transfer biaya hotel responnya kurang cepat sehingga saya harus telpon CS OYO untuk mengkonfirmasi bahwa sudah transfer. Overall saya puas pakai aplikasi OYO"
"1751","Kacau oyo saya sudah melakukan pembayaran tapi saya melakukan cansel sampai sekarang uang tidak dikembalikan masih mending redzore"
"1752","Booking hotel mudah dan cepat. App cukup ringan dan stabil. Bisa pakai cc."
"1753","ok"
"1754","Pesanan mudah & cepat....tinggal experience nya"
"1755","Mudah dan simpel"
"1756","Semoga bisa dipergunakan dengan mudah dan juga sesuai iklan ..... Berikan layanan yang terbaik"
"1757","Mantap"
"1758","Aplikasi sekaligus penginapan terburuk, sudah booking dan bayar, sesampainya di hotel resepsionis bilang kamarnya penuh (aneh, kalo penuh kenapa di app tertulis tersedia dan bisa dibayar), kemudian resepsionis bilang cancel aja nanti uanganya kembali, setelah saya cancel saya dapat notif (booking an...Ulasan LengkapAplikasi sekaligus penginapan terburuk, sudah booking dan bayar, sesampainya di hotel resepsionis bilang kamarnya penuh (aneh, kalo penuh kenapa di app tertulis tersedia dan bisa dibayar), kemudian resepsionis bilang cancel aja nanti uanganya kembali, setelah saya cancel saya dapat notif (booking anda telah dicancel, biaya cancel 70rb), sudah saya hubungi ke OYO, dan dapat balasan tidak dapat refund. OYO TIDAK BERTANGGUNG JAWAB"
"1759","Mantapp"
"1760","SETELAH DI TELUSURI BANYAK YG KASIH BINTANG 1 KEBANYAKAN UANG GA KEMBALI DAN HOTEL TIDAK SESUAI HARAPAN . DAN SY HARUS URUNGKAN NIAT MESEN HOTEL VIA OYO"
"1761","NO comment 👍👍👍👍Is Good I Like it"
"1762","Knapa sekarang bayar nya nggak ada pilihan Via Atm ..malah via kredit nyusahin aja ...bagusan yg dulu bisa via mbangking..semakin lama semakin jelek nih ..malah smakin ribet"
"1763","Good"
"1764","Kamar tidak sesuai dengan gambar dan fasilitas yang di sediakan Rifaund tidak di bayar.. Aplikasi zalim Di amail tidak di tanggapi Di telfon tidak bisa Hubungi polisi kali baik nya"
"1765","Nice"
"1766","Udah 2 bulan uang saya belum dikembalikan... Bukan jumlahnya tapi janji2 nya Janjinmau kembalikan sampai sekarang blom jg Saya sarankan jgn dowload.. Gambar di aplikasi sama yg asli g real Oyo penipu Makan uang haram.."
"1767","Good"
"1768","Bagus dan mudah"
"1769","Mantap jiwa"
"1770","keren"
"1771","the hotel room did not match the picture shown and the maid took a lot of profit on the booking I asked for a deluxe but the room was given superior then I complained with whom I was recommended once, and was very disappointed"
"1772","Murah bagus"
"1773","Good 👍"
"1774","😁"
"1775","YUKEAK26B9 ayo download dan salin pin aku ya, pokonya pake oyo dijamin murah dan nyaman."
"1776","Amazing ya 🙏"
"1777","Pelayann cepat"
"1778","Bagus"
"1779","Sangat bagus"
"1780","Parah banget gw nungguin uang gw yg belum kembali , padahal gw bayar cash tapi pas gw cancel karna kpencet dan gw tlp sampe sekarang gak ada respon , gimana nih untuk kembali nya dana saya yg sudah saya transfer tapi belum di proses sampai sekarang tolong dong di proses secepat nya terimakasih..."
"1781","Nyaman"
"1782","Harga bersaing.. pelayanan prima"
"1783","Bagus"
"1784","best"
"1785","Gunakan kode referal JESSWDNRW2 untung mendapatkan cashback senilai 500.000 di tambah 250.000 untuk voucer menginap. Tunggu apalagi? Come on, yo!"
"1786","Promo nya the best"
"1787","Wah ngeri sekali ya. Komentar-komentarnya pada banyak yang kecewa semua. Saya tadinya download aplikasi ini karena diskon voucher di OYO dan katanya suruh download dan booking pakai aplikasi ini, tapi setelah saya baca2 komentarnya, saya urungkan niat untuk menginap di hotel ini. Mengecewakan."
"1788","Ok"
"1789","Mantaappp dapet harga 99ribu saja pelayanan seperti hotel berkelas"
"1790","Ok"
"1791","Mantaaap"
"1792","Good aplikasi oyo"
"1793","Good"
"1794","Good"
"1795","Pelayanan cs yang paling buruk"
"1796","Uang refund tak kunjung kembali sudah nunggu 2 minggu tak ada respon, iklan terus tapi keluhan di abaikan"
"1797","Nice"
"1798","Nice"
"1799","Best"
"1800","Good"
"1801","Sisa 11 orang lagi buat 50 ref malah di hilangin taik,malah di ganti hadiah tiket nonton"
"1802","Masukin kode referral ini ADITJDAAVQ anda bisa mendapatkan voucher hingga 200000 rupiah. Ayo download appnya skrg."
"1803","Good"
"1804","Okay, sy bru instal apkny dan lgsg uninstal krn comment2ny jlek.. hahaha.."
"1805","Hebat/Hemat"
"1806","Mudah untuk memesannya"
"1807","🖒"
"1808","Voucer ga bisa di pakai terus"
"1809","Terburuk! masalah refund makan waktu lama! CS GAK MEMBERI IMFO yg JELAS!"
"1810","Ok"
"1811","Ok"
"1812","Bgus"
"1813","Good"
"1814","Cepat"
"1815","Tolong ya saya booking pas dateng suruh batalin dan pihak sana kata nya mau tf uang tapi smpe sekarang ga di tf ga bertanggung jawab banget"
"1816","Enggak bgt deh, saya nginep 30 hari lebih perkara uang deposit 100 ribu saja harus menunggu 2 hari lebih.. Oyo 620"
"1817","Bagus"
"1818","Hemat"
"1819","Hotel pelayanan terburuk"
"1820","Jossss"
"1821","Liat ulasan disemua aplikasi kok banyak bintang 1nya ya. Jadi tanda tanya mau booking lewat oyo"
"1822","Murah, bagus, nyaman"
"1823","Mantap"
"1824","I like it"
"1825","ok"
"1826","Lumayan membantu"
"1827","Ooh mantap"
"1828","Pembuat roti"
"1829","Good"
"1830","luar biasa memuaskan"
"1831","Baik"
"1832","Oyo yg di mangga dua dekat dengan rumah sakit Husada,sangat tidak recommended soalnya reseptionis nya g sopan,songong berasa kaya tuh hotel punya Dy sendiri,lebih selektif lagi dalam mencari karyawan, terimakasih"
"1833","Gunakan kode:ALYAJDNQDG dan dapat kan langsung chasback senilaai 250.000rb😍 aplikasi ini sangat bagus dan harganya jga terjangkau jangan lupa pake kode:ALYAJDNQDG dan dapat kan langsung senilai 250.000rb dan OVO CHASBACK senialai 500.000rb😍 yukk gunakan dan dapat kan promo nya😉"
"1834","Booking cepat sekali"
"1835","Mantaps"
"1836","Good"
"1837","Sangat baik"
"1838","Service ok banget.. 👍"
"1839","Thnks"
"1840","Pegawai ramah dan siap membantu."
"1841","Menyenangkan"
"1842","Good"
"1843","Dibatalkan tidak bisa refund"
"1844","paten bukan kaleng² , karyawan nya ramah²"
"1845","Pilihan hotel terbaik dgn hrga terjangkau"
"1846","Good"
"1847","Pelayanan ramah"
"1848","Mudah dan terjangkau"
"1849","Tidak Ada Tanggung Jawab Sistem Untuk Mengembalikan Dana Yang Dibatalkan Waktu Sistem Bug Atau Eror."
"1850","Sekali nginep di hotel oyo daerah tanjung duren GK sesuai harapan.difoto mah bagus2 kamarnya.pas boking parah.wifinya ancur..colokan buat cas hp mati.mahal iya...KTP di tahan sama minta deposit 100 rb.cukup sekali saja🙏🙏🙏"
"1851","Ok"
"1852","👍"
"1853","SANGAT MENGECEWAKAN. SEMUANYA JANGAN KE OYO MENDING REDDOORZ SAJA. Pelayanan sangat buruk pesan kamar untuk liburan jauh jauh dari seberang provinsi eh dibatalkan otomatis. Lalu disuruh pindah ke oyo utaranya malah sama saja akhirnya jam 11 malam harus bolak balik refund dan yg ke 2 suruh menghubung...Ulasan LengkapSANGAT MENGECEWAKAN. SEMUANYA JANGAN KE OYO MENDING REDDOORZ SAJA. Pelayanan sangat buruk pesan kamar untuk liburan jauh jauh dari seberang provinsi eh dibatalkan otomatis. Lalu disuruh pindah ke oyo utaranya malah sama saja akhirnya jam 11 malam harus bolak balik refund dan yg ke 2 suruh menghubungi cs . Jiaran . Mending reddorz aja lur gausah oyo"
"1854","SANGAT MENGECEWAKAN. malem malem sampai hotel pesan kamar single malah dikasih yang twin sudah itu kamar benar benar sangat kotor dan kamar mandi tidak layak pakai . Dan ketika di refund katanya suruh pindah ke oyo satunya . Setelah tengah malam membayar lewat transfer ternyata tiba tiba dibatalkan ...Ulasan LengkapSANGAT MENGECEWAKAN. malem malem sampai hotel pesan kamar single malah dikasih yang twin sudah itu kamar benar benar sangat kotor dan kamar mandi tidak layak pakai . Dan ketika di refund katanya suruh pindah ke oyo satunya . Setelah tengah malam membayar lewat transfer ternyata tiba tiba dibatalkan otomatis dari pihak hotel . Untuk masih ada homestay jam 12 malam"
"1855","Kenapa kok ga bisa refund ya"
"1856","Pake reff DEDEQGA4QL buat dapetin langsung 200rb,"
"1857","Sementara good"
"1858","Good"
"1859","Ok sangat membantu"
"1860","Kode Verifikasi tidak terkirim lama kali nunggu nya"
"1861","Kamarnya bagus bagusss"
"1862","Mantap"
"1863","JANGAN SAMPE PAKE OYO DEH APALAGI MESEN TIKETNYA ONLINE. SUMPAH NO RECOMENDED BGTT. NYESELLLLL"
"1864","Jos"
"1865","Luar biasa harganya sangat terjangkau"
"1866","ARDIQG97XN buat chasback"
"1867","Mantap"
"1868","Diskonny ya gede TP hargany dinaikin 2x lipatny. Mending gw pesen reddoorz 99rb udah pasti. Trus bc review orng jg kbnykn buruk."
"1869","Kalo bisa kartu flass juga bisa di gunakan"
"1870","menjebak orang"
"1871","Good"
"1872","Dengan adax oyo cari hotel lebih gampang"
"1873","Saya suka"
"1874","Kecewa dgn layanan OYO, saat saya pesan kamar dan pembayaran sdh dilakukan via transfer BCA dan sukses. Lalu, sengaja saya batalkan pemesanan kamar yg ketiga karena pemesanan kamar harusnya dua kamar menjadi tiga kamar dan satu saya batalkan. Namun ternyata pemesanan dgn nomor RFQI9814 yg merupakan ...Ulasan LengkapKecewa dgn layanan OYO, saat saya pesan kamar dan pembayaran sdh dilakukan via transfer BCA dan sukses. Lalu, sengaja saya batalkan pemesanan kamar yg ketiga karena pemesanan kamar harusnya dua kamar menjadi tiga kamar dan satu saya batalkan. Namun ternyata pemesanan dgn nomor RFQI9814 yg merupakan kamar pesanan kedua ikut dibatalkan oleh aplikasi. Hanya selang 30 menit saat saya cek in meminta utk kamar kedua diteruskan ternyata tidak bisa dan danavyg sdh masuk tidak bisa dikembalikan."
"1875","Dear OYO... saya melakukan kuis shake and win di aplikasi OYO, lalu memenangkan saldo OVO senilai Rp. 15.000, tp kok masih on pregres aja ya? Sudah hampir satu bulan. Di aplikasi OVO juga belum saya terima saldonya. Bagamanakah cara mengklaimnya? Atau diproses dalam waktu berapa lama? Terima kasih a...Ulasan LengkapDear OYO... saya melakukan kuis shake and win di aplikasi OYO, lalu memenangkan saldo OVO senilai Rp. 15.000, tp kok masih on pregres aja ya? Sudah hampir satu bulan. Di aplikasi OVO juga belum saya terima saldonya. Bagamanakah cara mengklaimnya? Atau diproses dalam waktu berapa lama? Terima kasih atas tanggapannya..."
"1876","Masukan code ""BOBIX92DLV"""
"1877","Gak bisa buat masukin kupon setelah di upgrade,atau ada yang tau gimana caranya?"
"1878","JANGAN DOWNLOAD APLIKASI INI. UANG SAYA TIDAK DIKEMBALIKAN PADAHAL BATAL INAP. GAK JELAS BANGET PENJELASAN. APLIKASI GAK JELAS BGT. KALO ADA BINTANG DIBAWAH 1 TAK KASIH DIBAWAH 1"
"1879","Baik"
"1880","Saya sudah pesan dan sudah transfer untuk pemesanan hotelnya.. tapi tidak muncul ada bukti lunas pembayaran pada aplikasi... Tolong pada pengelola segera respon"
"1881","Mantap"
"1882","Buruk sekali wtf"
"1883","kok ada aturan baru yya. aplikasi untuk BO nya. harus bayar DP atau transfer sebelm BO. seharusnya paling recommen BO ckg bayar nanti seperti biasa.. biar bertambah peminatnya."
"1884","Kamarnya nyaman...cm air panas nya gak konstan...dan keluarnya kecil...sama air siraman closetnya lama isi...jadi hrs tunggu utk siram...yg lainnya cukup nyaman..."
"1885","Mantap"
"1886","Good"
"1887","Is verri good"
"1888","OYO hoakk...udah booking, udah bayar...dicari tempatnya gag jelas...telfon pihak hotelnya gag di respon..MENGECEWAKAN...hati2 banyak penipuan"
"1889","Ok"
"1890","Ok"
"1891","JANGAN ORDER PAKE OYO , UANG SAYA GABISA DI AMBIL KETIKA CANCEL BOOKING ,SAYA GA SENGAJA CANCEL ORDER YG SUDAH DI BAYAR , TAPI PIHAK OYO TIDAK BISA MENGEMBALIKAN UANG YG SUDAH DI TRANSFER. BANGSAT"
"1892","Jancukkkk,,, udah booking penginapan, udh tf, nyampe tempat kamar penuh ..."
"1893","Kk"
"1894","Bintang 1 karena yang bisa masuk cuma 1 dari 2 orang. Hotel2 rekanan masi pada ga paham apa itu couple friendly. Uda bayar, baru dikasi tau kalo model syariah dan dipersilahkan cancel kalo ga terima. Ga nyaman."
"1895","Suiip"
"1896","Thks"
"1897","Bnyak promo murah puas banget.top OYO"
"1898","Baik"
"1899","Cakepppp"
"1900","Mantap sekali membantu mencari tempat yang terbaik"
"1901","Murah2 hotelnya"
"1902","Keren dan murah"
"1903","Percuma tambah temen,poin gede gak bisa dipake"
"1904","Dua dulu yah belum sampai soalnya"
"1905","Bagus dan murah"
"1906","Keren"
"1907","Sangat2 tidak jelas, kita sudah transfer ke Oyo tapi tetep gak bisa check in"
"1908","Oyo is the best app for your happiness"
"1909","Wow"
"1910","Nice"
"1911","wow keren"
"1912","Manthapz"
"1913","Ok"
"1914","Good job mudah pemesanan"
"1915","my rotfel HERDAKEG6W Good apk..."
"1916","Kerrn"
"1917","Bintang yang bicara"
"1918","Baik"
"1919","Mantap"
"1920","Siip"
"1921","Tolong untuk welery chanel transvisionnya untuk hbo di aktifkan donk"
"1922","Nice"
"1923","Kerrn"
"1924","Bagus"
"1925","Mantap"
"1926","Murah dan bagus"
"1927","Saya ingin bertanya nih Apa oyo masuk harus menggunakan KTP sir?"
"1928","The worst app ever"
"1929","muruh"
"1930","Pesannya gak ribet. Bisa bayar kalau sudah di lokasi. Mudah2 pihak hotelnya gak mengecewakan."
"1931","oke"
"1932","Bagus"
"1933","Ok 2x dpt promo yang wow"
