"","x"
"43","Tanggal 31 saya melakukan pemesanan hotel dan sudah saya bayar.. Beberapa saat kemudian tiba"" masuk notifikasi pesan bahwa pesananan saya dibatalkan secara sepihak oleh oyo... Tanpa ad pemberitahuan lebih awal.. Padahal saya tidak melakukan pembatalan.. Dan uang yang telah saya bayar melalui mobile ...Ulasan LengkapTanggal 31 saya melakukan pemesanan hotel dan sudah saya bayar.. Beberapa saat kemudian tiba"" masuk notifikasi pesan bahwa pesananan saya dibatalkan secara sepihak oleh oyo... Tanpa ad pemberitahuan lebih awal.. Padahal saya tidak melakukan pembatalan.. Dan uang yang telah saya bayar melalui mobile banking hangus dan tidak bisa di refund.. Sungguh sangat"" mengecewakan.. Sangat trauma saya sebagai konsumen"
"44","Mempermudah mencari penginapan"
"45","Boleh mintak email indonesi@escalaeions kelanjutan nya pa ya soal nya saya udah cencel tapi terlanjur trasfer mohon mintak email lengkap nya"
"46","Sering lag atau eror"
"47","Saya telah memesan hotel dan sudah dibayarkan, tetapi setelah 10 menit selesai pembayaran saya ingin mengganti tujuan hotel nya, kemudian saya ingin mengclaim tetapi tidak ada uang yang kembali."
"48","Saya pakai aplikasi Oyo malah merugikan sekali, sudah bayar pagi hari malah malam hari ditagih lagi"
"49","Bagus sekali"
"50","Sangat menolong orang.jadi yg masi kekurang .masi bisa nikmatin ini"
"51","Luar biasa top"
"52","saya bener2 tertipu dengan aplikasi OYO ini... saya booking kamar di oyo 1111 passer baroe jakarta dengan harga Rp.738.000 utk 2 malam, artinya permalam Rp. 365.000. fasilitas yang saya dapat di hotel tersebut NOL... kamar kotornya luar biasa, Toilet jorok, air mineral tidak ada, sabun tidak ada, sp...Ulasan Lengkapsaya bener2 tertipu dengan aplikasi OYO ini... saya booking kamar di oyo 1111 passer baroe jakarta dengan harga Rp.738.000 utk 2 malam, artinya permalam Rp. 365.000. fasilitas yang saya dapat di hotel tersebut NOL... kamar kotornya luar biasa, Toilet jorok, air mineral tidak ada, sabun tidak ada, sprei kasur kotor, lokasi di gang sempit. tapi dengan harga yg super mahal.... ternyata di hotel tersebut harga per kamar hanya 220.000. cukup sekali ini saja sy menggunakan oyo."
"53","Tempat penginap nya bagus p"
"54","Mantull"
"55","Mantaps Salah tanggal semoga bisa dibatalkan"
"56","GMNA SISTEM MANAJEMEN OYO?? JANGAN CMAN CARI UNTUNG AJA,KONSUMEN MU PIKIRIN BNG SD..UDH KAMAR GK STANDAR TPI HARGA SELANGIT,LU MAU MEMPERMUDAH ORANG LIBURAN APA MEMBUNUH ORANG PAS LIBURAN?? SISTEM OYO B G S D EMANG DAN DI BATU JAWA TIMUR SUDAH DI KUASAI ANTEK"" INI SEMUA JADI KITA SEBAGAI KONSUMEN HA...Ulasan LengkapGMNA SISTEM MANAJEMEN OYO?? JANGAN CMAN CARI UNTUNG AJA,KONSUMEN MU PIKIRIN BNG SD..UDH KAMAR GK STANDAR TPI HARGA SELANGIT,LU MAU MEMPERMUDAH ORANG LIBURAN APA MEMBUNUH ORANG PAS LIBURAN?? SISTEM OYO B G S D EMANG DAN DI BATU JAWA TIMUR SUDAH DI KUASAI ANTEK"" INI SEMUA JADI KITA SEBAGAI KONSUMEN HARUS MENGIKUTI ATURAN DAN SISTEM YG MEREKA BUAT..BAYANGKAN SEMUA HOTEL DI BATU DI PATOK DENGAN MINIMAL HARGA 700RB DENGAN STANDAR DAN KUALITAS KAMAR YG MINIM,700RB UDH DPT HOTEL 4* BG SD"
"57","Mantap"
"58","Bagus"
"59","Good"
"60","Good"
"61","Semoga selalu senantiasa mudah digunakan, dengan harga yang affordable, dan semakin banyak pilihan hotel nya"
