"","x"
"97","Booking lebih cepat"
"98","👍👍👍"
"99","Simple dan nggk ribet Makasih reddoorz sudah memudahkan saya dalam mencari penginapan"
"100","Nc"
"101","Pertama kali pesan penginapan pakai apk ini. Sumpah buruk banget. Beneran kecewa sama fasilitasnya !"
"102","Agak bingung untuk pertama kali bokingnya...tp tetap ok kok.."
"103","Prosesnya cepat"
"104","4 dulu ya"
"105","Sangat mebantu"
"106","Puassss"
"107","Bagus"
"108","Mantaf"
"109","Sangat membantu..."
"110","Good RedDoorz"
"111","Sangat cepat,tidak ribet dan sangat membantu. Sangat memuaskan 👍"
"112","Tepat, cepat check in mudah"
"113","Bintang 4 dlu 1 lagi nyusul klo uda di cobain untuk sementara masih booking"
"114","Sebenernya uda sering banget pake aplikasi ini buat staycation semalem dikota sebelah yang jaraknya dkt banget dari kostan, tp akir2ini metode pay at hotel gabisa dipakai lagi, semua tulisannya ""metode bayar dihotel tdk tersedia untuk kamar ini"" tp disemua room sm hotel lain jg gabisa :"" jd males pa...Ulasan LengkapSebenernya uda sering banget pake aplikasi ini buat staycation semalem dikota sebelah yang jaraknya dkt banget dari kostan, tp akir2ini metode pay at hotel gabisa dipakai lagi, semua tulisannya ""metode bayar dihotel tdk tersedia untuk kamar ini"" tp disemua room sm hotel lain jg gabisa :"" jd males pake app ini karna gbs pay at hotels soalnya keatm/indomart dari kostan jauh bgt"
"115","Recommended aplikasinya"
"116","Selalu berikan yg terbaik"
"117","Ok"
"118","Puas"
"119","Bagus"
"120","Ok"
"121","Flexible"
"122","Jadi lebih gampanggg cari penginapan😋"
"123","Mantap"
"124","Sangat membantu"
"125","Baik"
"126","Top banget....👍👍👍"
"127","Pengalaman pertama pilihan tempat & kamarnya Ok ,. Mantap"
"128","Nice"
"129","Ok"
"130","ok"
"131","Comfortable"
"132","Mantappp"
"133","nice"
"134","Mantap"
"135","Nice servis"
"136","Mantap"
"137","mantap"
"138","Is ok"
"139","Yes aja dah"
"140","Tolongnya buat cs reddorz kalo menjelaskan jangan pake emosi bisa? Masak gak ada rasa ramahnya"
"141","Good"
"142","Sangat puas"
"143","Membantu"
"144","RedDoorz tambah lebih canggih/maju"
"145","Puas pokoknya"
"146","Cukup memuaskan tpi jarang ada peromo"
"147","Easy to use"
"148","Recommended, aman, tempat nya strategis"
"149","Puas bgt"
"150","Rekomended"
"151","Siipp"
"152","service oke kamar oke overall okelah"
"153","Alhamdulillah lumayan tempat nya bagus hanya ajaa maybe bisa di tmbah kolam renang mungkin"
"154","Lebih Ditingkatkan lagi didalam informasi dan Pelayananya Redoorz and Sukses Selalu"
"155","Good"
"156","Hotel Ambaroba di Tuktuk Siadong,Samosir Island,Lake Toba-Nort Sumatra,Indonesia saya berikan bintang satu, Pelayanan Hotel Ambaroba mengecewakan karna kamar mandi jorok/bauk, air untuk mandi tidak ada, selimut tidak ada, receptions berbicara kasar, receptions merokok di ruang receptions"
"157","Bagus"
"158","Cepat, recomended hotel nya"
"159","Ok dan nyaman pemesanan"
"160","Semua fasilitas okee,cuma lantainya aja kurang bersih,pas waktu saya nginep agak licin soalnya. Dan waktu nunggu buat masuk setelah chek in terlalu lama."
"161","Mudah murah cepat"
"162","Tempat nyaman, bersih, pelayanan ramah. 👍"
"163","Tmpatnya bersih dan pelayanan ramah"
"164","Aplikasi anjing!!! Foto2 hotel gak sesuai dengan. Blgnya bisa refund pun gak ada pilihan untuk refund!! Perusahaan paling sial!!"
"165","Sangat mengecewakan ,, dan menyesal...... Harga tidak sesuai dengan tempat yg di tawarkan..... Ngeri ngeri. Jauh jauh cari hotel pesen di traveloka penuh pokoknya ini rating nya harus 1,5.ini harga 900k tempat macam kos-kosan.saya sangat menyesal dan saya suka kalau banyak yang komplain apalagi temp...Ulasan LengkapSangat mengecewakan ,, dan menyesal...... Harga tidak sesuai dengan tempat yg di tawarkan..... Ngeri ngeri. Jauh jauh cari hotel pesen di traveloka penuh pokoknya ini rating nya harus 1,5.ini harga 900k tempat macam kos-kosan.saya sangat menyesal dan saya suka kalau banyak yang komplain apalagi tempatnya semoga apk ini ndak sukses🤣🤣🤣🤣🤣🤣🤣🤣🤣"
"166","Baru kali ini mengecewakan.. solo travel3r.."
"167","Tadinya mau pake aplikasi ini,ehh setelah saya instal ngeliat reviewnya parah banget dan hampir sama masalahnya ..jadi AUTO DELETE dehh ....trimakasih netijennn kritikanya ...👍👍"
"168","Sangat baik"
"169","Buruk. Pelayanan yg buruk, pesen kamar yg besar pas nyanpek hotel dapet kamar yg kecil, showernya tidak berfungsi dengan baik air panasnya mati hotelnya kotor.. Sangat mengecewakan!!!!"
