"","x"
"709","Keren diskonnya g bohong euy"
"710","Good"
"711","Membantu dan banyak promo"
"712","Pelayanan buruk. Tiba2 orderan di cancel pdhl sudah bayar"
"713","Hallo Agoda yang terhormat,, saya pesan tiket bayar via Indomaret, setelah bayar lunas tiba tiba pesanan di batalkan sepihak oleh agoda, dan saya mau telpon CS nya tidak bisa hanya samapai minta no kartu kredit , sedangkan pembayaran menggunakan Indomaret, apakah uang pelunasan saya bisa di kembalik...Ulasan LengkapHallo Agoda yang terhormat,, saya pesan tiket bayar via Indomaret, setelah bayar lunas tiba tiba pesanan di batalkan sepihak oleh agoda, dan saya mau telpon CS nya tidak bisa hanya samapai minta no kartu kredit , sedangkan pembayaran menggunakan Indomaret, apakah uang pelunasan saya bisa di kembalikan, melalui apa... Tolong di respon.."
"714","Good"
"715","Sangat kecewa sekali dengan aplikasi ini , berulang kali lancar , yg terakhir pesan hotel lagi kemarin sudah melakukan pembayaran di indomart , bisa2 di hotel gak ada dan gak masuk kode voucher booking nya , di telpon juga gak bisa via cs nya , al hasil nihil dan rugi beratus ratus ribu !! Al hasil ...Ulasan LengkapSangat kecewa sekali dengan aplikasi ini , berulang kali lancar , yg terakhir pesan hotel lagi kemarin sudah melakukan pembayaran di indomart , bisa2 di hotel gak ada dan gak masuk kode voucher booking nya , di telpon juga gak bisa via cs nya , al hasil nihil dan rugi beratus ratus ribu !! Al hasil pindah hotel bayar tunai ! Dan dr hotel penganti yg saya check in juga menceritakan jangan order via agoda karena sering kejadian sudah melakukan pembayaran al hasil gak ada data yang masuk dr hotel"
"716","Sangat membantu"
"717","ok"
"718","sebenarnya agoda membantu sekali cari2 hotel..cuma jgn kerja sama dgn hotel2 nga layak donk.. udah harga mahal tp hotelnya nga layak"
"719","Secara tampilan saya senang..menggunakan aplikasi agoda utk mencari hotel sangat mudah..arahan dan informasinya jelas..sya belum bs komentr tentang tiketnya karena belum ada keperluan beli tiket..tapi sya merasa pengguna baru seperti sya dpt langsung memahami bgmana cara booking hotel dengan mudah.....Ulasan LengkapSecara tampilan saya senang..menggunakan aplikasi agoda utk mencari hotel sangat mudah..arahan dan informasinya jelas..sya belum bs komentr tentang tiketnya karena belum ada keperluan beli tiket..tapi sya merasa pengguna baru seperti sya dpt langsung memahami bgmana cara booking hotel dengan mudah..terima kasih agoda"
"720","NGAK GUNA.... PESANAN UDAH DIBAYAR..... BUKTI TRANSAKSI JUGA UDAH ADA.... TAPI TERNYATA HOTEL YG SAYA BAYAR TIDAK NENERIMA PESANAN...... SAYA JADI HARUS PESAN MANUAL DAN BAYAR LAGI!!!!!! APLIKASI APA INI???? PENIPUAN NAMANYA!!!!!!"
"721","Top"
"722","Ok"
"723","Sejauh ini untuk dalam negri sangat membantu, mungkin perlu ditambah bank afiliasi utk kemudahan membayar pada mobile banking"
"724","Ok yes"
"725","Harga terbaik dalam memberikan Informasi...sangat bagus"
"726","👍👍👍"
"727","Baik sekali"
"728","Good"
"729","Berbelat belit, gak jelas mau buka mna, trus hrus buka hotelnya dlu bru bsa lihat harga.. makan kuota skli buka ke tab baru.. enakan pegi pegi, pas nunjukin kota, smua harga kwlihatn"
"730","Saya ada masalah tentang pesanan saya. Kenapa pesanan saya dibatalkan secara sepihak oleh agoda saat saya sudah melunasi pembayaran via indomaret? Kmna saya harus menghubungi untuk pengembalian dana? Mohon ditindaklanjuti"
"731","Thnks"
"732","Okelaahh....cepat pemesanannya. Dan belum menemukan masalah. Thanks agoda"
"733","Cuman kadang loading lambat"
"734","Mau reschadule aja susah bgt. Padahal sdh dpt status vip , bintang 1 dl"
"735","Ok"
"736","Lumayan lebih murah 50 ribu dr aplikasi lain"
"737","Sangt baik n memmbntu"
"738","Ok"
"739","Good"
"740","Dasar penipu brengsek!!! Uang gue lenyap ga dibalikin sm nih perusahaan, pemesanan dibatalkan tp uang ga dikembalikan, dikasih no customer servicenya tp ga ada satupun yg bs dihubungi. Belum lg banyak org kena tipu jg sm aplikasi sialan ini!!!! ☹️☹️☹️"
"741","cara pembayaranya ribet...hrs bs lgs via mobile banking"
"742","Agoda mengembalikan dana yang ke cancel, walaupun butuh waktu yang lama, namun tetap ada prosesnya."
"743","Sungguh mudah di fahami."
"744","Proses mudah dan cepat, harga kompetitif"
"745","Baik dan Bagus !"
"746","👍"
"747","Oke siip"
"748","ribet pake aplikasi ini"
"749","Apps yang sangat membantu"
"750","Oke"
"751","Bosku contak person untuk wilayah makassar berapa??coz sudah bayar di alfa tpi blom muncul di hotelnya??"
"752","Ok"
"753","Mmm acan nyobaan.."
"754","cepat"
"755","Good"
"756","Bagusss..."
"757","Cepat dan murah"
"758","Thx agoda pelayanannya cepat dan sigap dalam menangani permintaan saya."
"759","mantab"
"760","Ok"
"761","Good Services"
"762","Pemesanan di batalkan setelah udah bayar via indomaret. Mau refund setengah mampus susah bgd smpe 3 x gagal alhasil uang hotel yg lumayan hangus gitu aja. Payah"
"763","Trimakasih"
"764","Cepat dan Harga lebih Murah.. Mantul"
"765","Ok Good"
"766","simple"
"767","Halo Agoda! Sekarang pembayaran pemesanan kamar melalui aplikasi harus dengan CC ya??? Ngga bisa ubah pembayaran via *ndomaret atau *lfamart??? Padahal sebelum2nya bisa n lancar jaya. Tolong dibantu. Thanks"
"768","Bagus top markotop"
"769","Gak pantas dikasih bintang .pesan hotel dadakan dan bayar di indomart .garagara ktp sama suami blm menikah gabawa buku nikah dan gaada solusi lain dari hotel yang sudah dipesan..pihak hotel kasih solusi uang dikembalikan dari agoda .agoda gak mau mengembalikan .garagara itu kesurabaya sama suami ter...Ulasan LengkapGak pantas dikasih bintang .pesan hotel dadakan dan bayar di indomart .garagara ktp sama suami blm menikah gabawa buku nikah dan gaada solusi lain dari hotel yang sudah dipesan..pihak hotel kasih solusi uang dikembalikan dari agoda .agoda gak mau mengembalikan .garagara itu kesurabaya sama suami terlantarkan .aplikasi goblok.."
"770","Keren"
"771","Cakepppp...."
"772","Good"
"773","Harganya ngaco..."
"774","Saya pesan hotel, sudah bayar, namun dibatalkan, tolong segera di refund!"
"775","Uang pembatalan saya gimana? Saya tunggu satu bulan tidak ada respon dari agoda ,"
"776","Lumayan"
"777","Easy to find cheaper hotel. Thanks Agoda 💕"
"778","Solusi pemesanan hotel"
"779","Ok"
"780","* -> Smakin gampang memakai aplikasinya . * * -> Byk promonya . * * * -> Gampang konfirmasi ama staff hotel , pemilik homestay , pemilik apartemen & pemilik rumah ( semua pernah pesan ) . * * * * -> Semua tertera dengan jelas ; alamat , kamar yg dipesan , pajak yg masih hrs dibayar . ( konfirmasi pe...Ulasan Lengkap* -> Smakin gampang memakai aplikasinya . * * -> Byk promonya . * * * -> Gampang konfirmasi ama staff hotel , pemilik homestay , pemilik apartemen & pemilik rumah ( semua pernah pesan ) . * * * * -> Semua tertera dengan jelas ; alamat , kamar yg dipesan , pajak yg masih hrs dibayar . ( konfirmasi pemesanan ) . * * * * * -> Bisa pesankan u/ keluarga ( gampang u/ anggota keluarga yg lbh tua krn yg penting konfirmasi pemesanan sesuai dgn nama yg mau nginap ) . .. TY .."
"781","Hotel hotel yang trusted, nyaman, transaksi aman dan mudah"
"782","Hotel bersih dan nyaman."
"783","Niatnya maubdonlod, eh di comment pada gasuka, ya udah lah cancel aja keknya emang jelek"
"784","Good app...banyak kegunaan"
"785","Ok"
"786","Lumayan"
"787","Bagus"
"788","Bagus, recommendasi harga termurah"
"789","Bagus cepat murah"
"790","Memudahkan pencarian hotel"
"791","SALDO SAYA MENGHILANG TIDAK JELAS."
"792","Banyak diskon"
"793","Mantap dan murah"
"794","Harga hotel lebih murah dari traveloka"
"795","Sederhana juga mudah regristrasi"
"796","Update infonya"
"797","Promonya luar biasa😍"
"798","Istimewa"
"799","Mantap"
"800","Sangat membantu"
"801","Good"
"802","MANTAP"
"803","Sudah hampir 2 minggu uangnya belum dikembalikan setelah pembatalan dri pihak agoda..sudah berkali2 tlp disuruh menunggu sampai sekarng belum ada kejelasan....MALING jaman skrng udah canggih"
"804","mantap"
"805","Deskripsi hotel jelas, harga murah dibandingkan apk lain, pembayaran mudah. User experience nya bagusss"
"806","Sangat memuaskan, mudah dan banyak pilihan"
"807","👌👌👌👌👌"
"808","Memudahkan pesan kama hotel"
"809","Bagus"
"810","Good"
"811","Agoda tau apa yang saya mau😁"
"812","Jos Jos"
"813","Sangat berguna..."
"814","Sudah bayar pemesanan hotel tiba2 dibatalkan dibatalkan oleh agodanya..setelah dibatalkan uangnya tidak langsung dikembalikan.. telepon CS juga susah... PELAYANAN KALIAN SANGAT BURUK!!!!! SAYA RUGI WAKTU DAN UANG.. BAGAIMANA PERTANGGUNG JAWABAN KALIAN??? APLIKASI GOBLOK"
"815","Mudah dan cepat ..thank you agoda"
"816","Mudah murah"
"817","Tadi udah mesen, trus bayar, udah gtu cek di app, tiba tiba pemesanan saya d batalkan, waaaw 🙏"
"818","Saya baru coba ini aplikasi prosenya cepat,"
"819","Bagus"
"820","parah ini aplikasi sudah bayar 900 ribu untuk booking hotel di alfamart, malah terbatalkan pas sudah pembayaran... kecewa sekali"
"821","Ok"
"822","Murah pake agoda"
"823","SANGAT MENGECEWAKAN. saya sudah booking kamar setelah saya bayar di indomart tiba2 ada notifikasi dicancel oleh pihak Agoda dengan alasan kamar sudah penuh, padahal sebelumnya pas saya booking masih tersedia kamarnya, dan waktu pembayaran saya tidak telat. Ketika dikonfirmasikan ke pihak agodanya ti...Ulasan LengkapSANGAT MENGECEWAKAN. saya sudah booking kamar setelah saya bayar di indomart tiba2 ada notifikasi dicancel oleh pihak Agoda dengan alasan kamar sudah penuh, padahal sebelumnya pas saya booking masih tersedia kamarnya, dan waktu pembayaran saya tidak telat. Ketika dikonfirmasikan ke pihak agodanya tidak jelas kapan dikembalikan uangnya malah disuruh pesen hotel lain dan selisih harganya harus kami bayar lagi. SEHARUSNYA KALAU MMG MAU DI CANCEL KONFIRMASIKAN DULU SEBELUM SAYA MELAKUKAN PEMBAYARAN"
"824","Udah 2x pesan pakai agoda selalu puas"
"825","Info harga tidak termasuk pajak"
"826","Ok"
"827","Sangat senang harga jd murah"
"828","Good"
"829","Mantap"
"830","Kalau bisa harga yg ditampilkan di awal adalah harga final.selain itu yg lainnya sudah memuaskan"
"831","Mudah mencari pesanan hotel atau pesawat"
"832","Kereeeen banget. Puas banget, aku suka. Gak pake ribet"
"833","Saya kasih bintang 5 untuk respon yg cepat dari agoda,buat teman""yg perna mengalami terjadi nya cancel dari pemesanan,cara nya gampang banget,klian masukin nama email kalian dan dan no hp klian,dri pihak agoda akan langsung nelfon,dan mengembalikan uang klian sesuai pesanan yg klian bayar,agoda untu...Ulasan LengkapSaya kasih bintang 5 untuk respon yg cepat dari agoda,buat teman""yg perna mengalami terjadi nya cancel dari pemesanan,cara nya gampang banget,klian masukin nama email kalian dan dan no hp klian,dri pihak agoda akan langsung nelfon,dan mengembalikan uang klian sesuai pesanan yg klian bayar,agoda untuk saat ini msh best of the best lah ya untuk masalah pemesanan,semga kedpn nya tidak trjadi lagi dngn ada nya cancel sprti ini,agar para langganan tidak kecewa dan kaget,sukses untuk agoda"
"834","Puas,bila kita complain langsung di tanggapi"
"835","Arga"
"836","dari sekian komentar ...lebih banyak yg komplain ketidaknyamanan ...perbaiki terus kinerja penyedian jasa anda..."
"837","Super sekali agoda"
"838","Sangat cepat dan sangat mudah untuk memesan hotell maupun ticker pesawat dan juga memilik discounr yg luar biasa (y)"
"839","Cukup baik...saran saya..tambahkan menu transfer utk pembayaran"
"840","Saya Sudah Bayar Via Indomart Tapi ada pembatalan Dari Pihak Agoda Saya mau Uang saya Balik"
"841","Pesanan tidak sesuai dg kenyataan... Ini di hotel lampung guesthouse bambu kuning.. Pelayanan sangat2 jelek.... Dan anak2 d bwh umur 12 tahun kena biaya 😈😈"
"842","Sangat mengecewakan pesan kamar sudah transfer pula eh ternyata full dan uang susah kembali sangat lambat penanganannya tidak bisa d hubungi"
"843","Baru nyoba sih pesen hotel via agoda, semoga tidak mengecewakan."
"844","Dd"
"845","Sangat Bagus"
"846","Mantap"
"847","Kereeen"
"848","Sangat banyak opsi yang begitu membantu."
"849","Sudah bayar via indomaret tapi digagalkan oleh agoda, saya minta refund uang saya"
"850","4dulu yaa....krn baru kali ini menggunankan aplikasi ini"
"851","Cepat..mantap"
"852","luar biasa"
"853","Nice"
"854","Mantap......"
"855","Cepat , Murah, menguntungkan"
"856","Good"
"857","Oke"
"858","Ok"
"859","Amat sangat membantu 👍👍👌👌"
"860","Goooooooood bsnget"
"861","Aplikasi anjing ah awas jgn coba2 pakai aplikasi TIDAK bermutu tai anjing lah Aplikasi setan"
"862","Good very good"
"863","Mantap"
"864","Good"
"865","oke"
"866","Best"
"867","like"
"868","Sejauh ini memuaskan sih"
"869","lumayan"
"870","Okok"
"871","Mantap terima kasih harga yang cukup murah di hotel berbintang"
"872","Ok sytem nya crpat dan sangat mudah menggunakan aplikasi nya untuk pemesanan"
"873","Mantap"
"874","Good Job. Agoda. Com, Pesan Hotel gk Pakai Ribet, Pesan Hotel di Agoda Aja. Yeess"
"875","Good💞"
"876","Menu2nya simple dan mudah, font hurufnya lebih gede dibanding situs lainnya... lebih nyaman buat mata tua (plus)"
"877","Sangat membantu dan harga yg ditampilkan terjangkau."
"878","Yeas"
"879","aplikasi paling top untuk traveler"
"880","Nicee"
"881","Semoga bermanfaat"
"882","Ini apps byak complain sepertinxa kurang bgus. Harus sgera lakukan perbaikan. N berilah pelayanan yg terbaek."
"883","27/11/19 sya ada booking hotel dri agoda.. tiba2 pesanan sya dibatalkan tpi duit sudah dipotong sbnyak 2 kali.. balikin duit gue !!!"
"884","udah 2x sy mengalami hal seperti ini..stlah sy membayar via alfamart tb2 mendapafkan email kalo pesanan sy dibatalkan dengan alasan pembayaran sy belum di terima.sy pkr stlah kejadian 1x itu agoda akan ada perbaikan..ternyata sama aja..dlm 1 hari bisa brp juta uang yg kalian terima kalo setiap org y...Ulasan Lengkapudah 2x sy mengalami hal seperti ini..stlah sy membayar via alfamart tb2 mendapafkan email kalo pesanan sy dibatalkan dengan alasan pembayaran sy belum di terima.sy pkr stlah kejadian 1x itu agoda akan ada perbaikan..ternyata sama aja..dlm 1 hari bisa brp juta uang yg kalian terima kalo setiap org yg sudah membayar tb2 di cancel pihak agoda..gila..seharusnya aplikasi ini ga ada lg di play store dan bnr2 udh ga layak!setiap di email pun jwbnya sllu sama..sedang di lacak pembayarannya..dasar nipu!"
"885","Very good!!"
"886","Harga berkualitas pilihan banyak enggak bakal rugi deh pakai agoda yang ada malah untung besar"
"887","Harga banyak diskon"
"888","Sangat membantu saya utk mencari best price hotel terbaik.. thank u ...agoda"
"889","Sangat membantu"
"890","Mantap"
"891","Istimewa"
"892","Mantabb banyak promonya hehhehehe"
"893","Kecewa bngt.. Dah pesen dah dibyr pas smp hotelnya blm ada pembayaran masuk.. Jd batal"
"894","Ok"
"895","Agoda bagus,murah,dan bookingnya simple tp saya mau kasih saran tolong ditingkatkan pemesanannya klo pesen sesuai yg di aplikasi donk,masa saya pesen kamar yg boleh merokok tp pas smpe tujuan gak boleh merokok klo merokok bakal kena denda 500ribu,gimana sih"
"896","#mantap👍🇮🇩 suasana hotel agonda selalu tergoda. ☆ANDA☆ SOPAN ☆KAMI ☆SEGAN☆"
"897","Aplikasi payah saya sudah bayar dari tanggal 25 untuk check in tanggal 28 tapi blm di konfirmasi saya sudah kirim email tapi balasannya sama disuruh nunggu mohon kerja samanya jangan nyusahin konsumen."
"898","Saya telah mencoba 2 kali pemesanan hotel Alhamdulilla semua lancar dan mudah harganya juga ok 👍. Semoga semakin baik kedepannya"
"899","Mudah"
"900","Kerenn bnyak untungnya"
"901","Terjadi pembatalan sepihak lagi Kalau ada keluhan seharusnya langsung ada perbaikan, sampai saat ini masih terjadi bug Sangat merugikan saya Hubungi / respon saya maksimal 12 jam"
"902","Sangat membantu"
"903","Goood"
"904","Dapet paling murah di hotel berkelas"
"905","Mudah, Respon Cepat, Membantu dan Harga Lumayan"
"906","Recommended app"
"907","Mantap,mohon lebih banyak promonya"
"908","Sangat bagus dan memudahkan costumer dlm hal pembayaran"
"909","Sangat terbantu untuk pesan hotel"
"910","Awalx mw instal krn liat byk promo di iklan n email.. Tp pas liat rewiew kok pada jelek semua ya n kasusx sama,yaitu pembatalan sepihak. Maaf gak jadi deh.. Cukup org lain aja yg ketipu.. Kaburrrr"
"911","Memuaskan"
"912","Setelah baca komntar di bawah yg sudahorder mlh di chancel sepihak saya langsung hapus lgi aplikasi ini"
"913","Leh uga"
"914","Mantap lebih murah dari aplikasi sebelah"
"915","Aplikasi ini hanya bisa dibayar via kartu kredit ya???"
"916","Agoda sangat membantu kebutuhan kami sangat puas"
"917","Mudah,gampang dan cepat"
"918","Ok"
"919","Bener2 harga murah"
"920","Ok"
"921","Cepat prosesnya"
"922","Recomended"
"923","Astagfirullah, kenapa pelayanana seperti ini. Saya pesan hotel untuk 2 kamar dan sudah terkonfirmasi lalu saya melakukan pembayaran. Tapi setelah pembayaran selesai loh ko malah ada email pembatalan. Ini gimana? Mencoba menghubungi CS tapi tidak ada solusi, tolong uang saya dikembalikan"
"924","Coba dl.. Kl bagus bari tambah bintang"
"925","Pajak nya terlalu mahal hampir setara dengan harga kamar gila"
"926","Mantap"
"927","Oke"
"928","Sangat rekomen"
"929","Good"
"930","Mantap"
"931","I like"
"932","Baru pertama kali pakai aplikasi ini sangat mengecewakan. Saya pesan 2 kamar hotel reddoorz dari agoda ternyata pas sampai lokasi/hotel hanya tersisa 1 kamar. Padahal saya sudah bayar dengan harga 2 kamar. Jauh"" Dari jakarta ke serang akhir nya malah bikin stres."
"933","😎"
"934","Pesanan saya tidak terdaftar di hotel yg saya pesan ! Padahal saya sudah bayar !!!"
"935","Sangat memudahkan sekali dalam pemesanan.."
"936","Tolong di bls pesan email saya , saya kirim email atas komplain tentang verifikasi pesanan dan sudah saya bayar sesuai tarif yg tertera d aplikasi.Dan parah nya lgi saya login dan verifikasi d email saya gk bisa dan blum ada masuk d email saya , mohon d cek dan beri kabar ke pada kami"
"937","Akun ini menawarkan harga murah, begitu mau pembayaran harus memasukkan no kartu kredit/kartu debit, ternyata harga yg dibayar lebih mahal dari yang ditawarkan, hmmm... Semoga lebih baik lagi, cukup Sdh tertipu 1x Hahaha"
"938","Bagus Cepat Akurat"
"939","Okeh"
"940","Penggunaan aplikasinya gampang, harganya terbaik😁"
"941","Good"
"942","Rekomendasi aplikasi travel"
"943","Simple,bisa bayar ditempat"
"944","So good,,,"
"945","Bagus"
"946","Good app"
"947","Aplikasi anjing ni masak pas cancel bokingan uang saya tidak di kembalikan nya anjing aplikasi haram ni aplikasi korupsi aku doekan cepat bangkrut ni yg punya aplikasi agoda anjing ni!!!!!"
"948","PLAY STORE TOLONG HAPUS APLIKASI INI SEBELUM SEMUA UMAT MANUSIA TERGANGGU KENYAMANANNYA DALAM PEMESANAN HOTEL. UANG SAYA SAMPAI SEKARANG BELUM DIKEMBALIKAN, TERLALU BERBELIT-BELIT DAN MEMBUAT PITAM SAYA MELEDAK!!! NIAT LIBURAN TENANG MALAH JADI PIKIRAN. SENANG BANGET HOLD DAN MEMBATALKAN SEPIHAK PES...Ulasan LengkapPLAY STORE TOLONG HAPUS APLIKASI INI SEBELUM SEMUA UMAT MANUSIA TERGANGGU KENYAMANANNYA DALAM PEMESANAN HOTEL. UANG SAYA SAMPAI SEKARANG BELUM DIKEMBALIKAN, TERLALU BERBELIT-BELIT DAN MEMBUAT PITAM SAYA MELEDAK!!! NIAT LIBURAN TENANG MALAH JADI PIKIRAN. SENANG BANGET HOLD DAN MEMBATALKAN SEPIHAK PESANAN HOTEL TAMU! DUIT KU WOI AGODA KEMBALIKAN!!!!!!!!"
"949","Oh"
"950","Pertama kali pesan, harga 675rb jadi 830rb. Beda dengan yg lain ada konformasinya dilu"
"951","Booking hotel di cancel dgn sndiri ny. Smw data di hilangin... N mreka tiba2 minta bukti pmbayan. Otak di pke sedikit.. Itu bukti bukan sc, via email ya ilang smw lah.. Klo situ ud ilangin data. Cust service ny kaya taik... Ga sopan. Lelah ya kbnykan di complain org?? Makan tuh uang haram ratusan ri...Ulasan LengkapBooking hotel di cancel dgn sndiri ny. Smw data di hilangin... N mreka tiba2 minta bukti pmbayan. Otak di pke sedikit.. Itu bukti bukan sc, via email ya ilang smw lah.. Klo situ ud ilangin data. Cust service ny kaya taik... Ga sopan. Lelah ya kbnykan di complain org?? Makan tuh uang haram ratusan ribu. Buat custservice ny yg masih pd ikut nikmatin uang haram slamat menikmati. Anda di gaji dr hasil nipu jutaan pengguna app"
"952","Mantul"
"953","Mantap"
"954","Proses cepat,bayar di minimarket terdekat langsung bisa cek'in"
"955","keren nya bisa pesan sekarang bayar ditempat"
"956","Mudah dan murah"
"957","Bagus"
"958","Recomended bgt"
"959","Oke..mudah ..murah"
"960","Bagus"
"961","Entah ada apa denganmu Agoda.. Bikin emosi aja, banyak pihak properti berpendapat sama kalo agoda kacau ga jelas,.. Sekalian aja gk usah ada aplikasi Agoda lagi di muka bumi, itu lebih baik...!!"
"962","Banyak pilihan hotel dengan harga ok"
"963","Nice soo"
"964","Gooddddddd...... tingkatkan lgi"
"965","Mantap"
"966","Pertama pakai agoda puas tp belakagn skrg sering kecewa kadang id pesanan tdk trlihat d properti lama nunggu hmpir 1 jm br bs check in. Pernah jg d batalkan pesanan, pdhl sdh byr. Akhirny a byr cash di hotel."
"967","Skrg bisa bayar di minimarket .. thanx agoda"
"968","Sy udah byar d indomart tp konfirmasi dr agoda.a sampe nggu 5jam. Trs saya nggk k hotel lg apa masih bisa uang kembali.."
"969","Lokasi sangat strategis dkt dgn mol plasa balikpapan. Menuju ke berbagai wisara kuliner sampai ke bandara pun dekat. Harga terjangkau dgn aplikasi yg ada."
"970","Akan lebih lagi jika ada fitur pembayaran lewat ATM bersama di aplikasi atau dengan dompet digital like ovo, link, gopay, dana,, seperti di web Agoda sudah ada pembayaran lewat ATM"
"971","Bagus banget responnya"
"972","Saya 2 kali di tipu agoda, sudah bayar tapi pesanannya ngga masuk ke hotel. Di hubungi csnya yg nerima robot. Suruh masukin id booking katanya salah trus. Udh tanya lewat app juga masih ngga ada jawaban. Tolonglah jangan mengecewakan pelanggan terus. Saya 2 kali loh. Maaf2 doang ngga ada solusi,"
"973","Aplikasi tidak jelas, Saya sudah melakukan pembayaran tp status boking tidak muncul di hotel tujuan. Dan uang saya tidak bisa kembali. Sungguh mengecewakan"
"974","Kecewa bgt pesen hotel di sini berkendala terus , udah 2 kali pesem sedang di proses terus. Uang pun tidak bisa kembali lagi. Sangat kecewa. Tolong di perbaiki!"
"975","Agoda parah , pemesanan belum ada, sy sudah sampe sore nih d hotel gabisa masuk ..parah mending pake yg lain kapok pake agoda"
"976","Aplikasi terjelek booking tidak jelas"
"977","Halloow Agoda. Bisa tolong jelaskan mengapa diharga kamar misalnya 500rb trs angka tersebut tercoret kemudian ada angka 300rb dan tercoret juga. Kemudian ada angka terakhir senilai 200rb dbwahnya ada bcaan harga terakhir kami terus gunakan voucher diskon jadi hrga misal cuma 180rb. Tapi kok stlh say...Ulasan LengkapHalloow Agoda. Bisa tolong jelaskan mengapa diharga kamar misalnya 500rb trs angka tersebut tercoret kemudian ada angka 300rb dan tercoret juga. Kemudian ada angka terakhir senilai 200rb dbwahnya ada bcaan harga terakhir kami terus gunakan voucher diskon jadi hrga misal cuma 180rb. Tapi kok stlh saya klik hrga yg tertera bukan hrga terakhr stelah penggunaan voucher malah harga 300rb. Sebenarnya promo harga nya gmn sih. Kok harganya jdi seperti dipermainkan"
"978","membingungkan"
"979","Nunggu konfrim pembayaran aja lama bgt .. Pelayanan lama bikin dongkol"
"980","Agoda ok banget"
"981","Mantap & banyak diskon"
"982","Mantap"
"983","Good"
"984","Saya menemukan harga yg lebih murah di Agoda bahkan dr harga di propertinya langsung"
"985","Bagus, tapi terkadang saya masih bingung"
"986","Bagus."
"987","Sangat membantu, terimakasih"
"988","Mantap"
"989","Top bgt dh"
"990","Mantul gaesss"
"991","Tidak merekomendasikan untuk didownload!! Kecewa banget sih sebagai pengguna baru sangat KECEWA BANGET BANGET status pemesanan yang kurang update CSpun tidak memberikan solusi dengan ide mencarikan hotel atau apapun yang mempermudah customer. Hellow, kalian menjual jasa !!! Niat liburan lebih mudah ...Ulasan LengkapTidak merekomendasikan untuk didownload!! Kecewa banget sih sebagai pengguna baru sangat KECEWA BANGET BANGET status pemesanan yang kurang update CSpun tidak memberikan solusi dengan ide mencarikan hotel atau apapun yang mempermudah customer. Hellow, kalian menjual jasa !!! Niat liburan lebih mudah tapi malah dibikin ribet!!! 😊"
"992","Discountnya gede"
"993","Sungguh Cerdikiawan"
"994","Sangat membantu sekali harga cukup bersaing saya cari yg murah namun kualitas bagus nemu di agoda terimakasih yaa"
"995","Luar biasa"
"996","Baru saja saya pakai agoda pesan hotel, di aplikasi pesanan sy include breakfast tp knp sampai di hotel ketika check in no inlude breakfast, sy confirmasi ke receptionis bahwa dari agodanya tidak menyertakan breakfast, mohon bantuannya ya"
"997","Nice"
"998","tolong kembalikan dana saya,sudah mlm2 saya pesan sampe saya lontang lantung mencari penginapan lain!tolg kerjasamanya...mw konfirmasi ke sy dr 10mnt sampe dgn hr ni tdk ad konfirmasi!!kalo memang tdk ad kerjasama dg penginapan yg sy boked kmrn hrsny tdk d iiklankan!!ini sdh sy trnsfer,sy ditolak da...Ulasan Lengkaptolong kembalikan dana saya,sudah mlm2 saya pesan sampe saya lontang lantung mencari penginapan lain!tolg kerjasamanya...mw konfirmasi ke sy dr 10mnt sampe dgn hr ni tdk ad konfirmasi!!kalo memang tdk ad kerjasama dg penginapan yg sy boked kmrn hrsny tdk d iiklankan!!ini sdh sy trnsfer,sy ditolak dan tdk menginap pulak!!situ waras..."
"999","Proses cepat dan simple.."
"1000","Kesulitan akses pesanan krna lupa password, ubah password dbtanya juga yg lama, stuck"
"1001","Agoda mantap..cepat konfirmasinya"
"1002","Sumpahhh sedihhh bgttt ketika sdh byr sdh ada kode booking pdhal hr prtma bookung nama saya sdh ada dihotel.. pada tgl 21 nov 19 Pas hari H ny tgl 23 pgi saya konfirmasi mlah nma saya bookingan saya g ada dhotel tersebut.. bingung posisi sdh dibandung.. kecewa bgtt cancel sepihakk lalu uang saya gmn...Ulasan LengkapSumpahhh sedihhh bgttt ketika sdh byr sdh ada kode booking pdhal hr prtma bookung nama saya sdh ada dihotel.. pada tgl 21 nov 19 Pas hari H ny tgl 23 pgi saya konfirmasi mlah nma saya bookingan saya g ada dhotel tersebut.. bingung posisi sdh dibandung.. kecewa bgtt cancel sepihakk lalu uang saya gmn pdhl liat review bnyk yg alami sperti saya tpi sya sllu bersangka baik ah tdk pasti bgus agoda nyata ny saya mengalami hal yg sama sperti yg lainn.. akhirny dgn ht yg bingung psn hotel 2x lbih mhal😭"
"1003","Bagusssss bangettt"
"1004","Murah bagus"
"1005","Good..."
"1006","Baik selama ini"
"1007","Oke lebih mudah dan efektif"
"1008","Y Y"
"1009","GUA BAYAR HOTEL MAHAL2 DI CANCEL SECARA SEPIHAK. NYESEL GUA PASANG APL AJG INI"
"1010","Nice"
"1011","Oke"
