"","x"
"33","APLIKASI PENIPUAN!!! BALIKIN UANG GUE WOI!!! UDAH DI TRANSFER MALAH DI BATALIN DR PIHAK AGODA. BLOKIR AJA NIH APLIKASI. KEBANYAKAN MAKAN DUIT ORANG."
"34","simple, paling murceeeee, love U Agoda😍"
"35","Ok....dan recommended"
"36","Dapat hotel tp TDK terdaftar .. call centernya gk fungsi .. kami terlantar"
"37","oknice"
"38","Great"
"39","Bgs n smg lbh beri yg trbgs"
"40","Oke"
"41","AGODA SANGAT MENGECEWAKAN...SAYA SUDAH BAYAR TAPI GA DPROSES2...DUITNYA JUGA GA DIKEMBALIKAN.....SANGAT BURUK AGODA"
"42","Good"
"43","Aplikasi penipu tiba tiba di cancel dan uangnya 1 bulan dikembalikan,banyak orang sudah kena tipu bahkan uangnya tidak di kembalikan,mending aplikasi traveloka dari pada aplikasi penipu ini"
"44","Aplikasi sampah , penipuan . Jangan download dan uninstall aplikasi laknat ini"
"45","Harga cukup baik, tapi customer service dan layanan call center lambat sekali dan kurang membantu."
"46","Saya sudah membatalkan pesanan tetapi ketika pihak cs di hubungi perihal refund nomor yang tertera sibuk dan tidak ada baasan dari email"
"47","Makin di persulit , hanya bisa bayar melalui kartu . Tidak bisa pembayaran melalui yg lain."
"48","Jangan mau order di agoda..udah bayar mahal2 untuk 3 hari.tiba2 pas check in ga ada nama saya.. malah mau refund lama kali 20 harian stress ga ada tanggung jawab"
"49","APLIKASI ANJING, GUE UDAH BAYAR 5 JUTA, PAS NYAMPE HOTEL TERNYATA UDAH DIBATALAIN DARI SANA NYA, TAPI DARI PIHAK AGODA GAADA KONFIRMASI SAMA SEKALI ANJING, DI TELPON CS NYA GA DIANGKAT"
"50","Memuaskan"
"51","Mantap"
"52","The best pokona mah"
"53","Trm kasih agoda. Sy bisa nginap di OYO 2376 tiara family residence batu malang Tempat strategis, bersih, nyaman, service bagus."
"54","Ngeri2 sedap mau pesan d Agoda.. ni aplikasi abal2 ato gmn kok koment na ketipu semua? Mmg klo di lihat app na bagus tp klo byk yg merasa tertipu tlg bt playstore, hilangkan aja app agoda ini.. krna dgn bgtu playstore telah menyelamatkan calon2 pembeli dari app penipu.. Bt Agoda klo mmg bukan penipu...Ulasan LengkapNgeri2 sedap mau pesan d Agoda.. ni aplikasi abal2 ato gmn kok koment na ketipu semua? Mmg klo di lihat app na bagus tp klo byk yg merasa tertipu tlg bt playstore, hilangkan aja app agoda ini.. krna dgn bgtu playstore telah menyelamatkan calon2 pembeli dari app penipu.. Bt Agoda klo mmg bukan penipu seperti yg d sebutkan para konsumen.. buktikan itu.. Trmaksh.."
"55","Saya sudah bayar, 19 menit sebelum batas akhir tapi pesanan saya di cancel oleh pihak agoda. Tolong kejelasannya!"
"56","Sangat burukk😢 saya pesan hotel, saya bayar lewat indomart uang sudah masuk, sampai hotel, hotel belum menerima konfirmasi pemesanan, dan sampai saat ini minta kembalian pembayaran tidak dibalas sangat buruk pelayanan. Tidak recomended ."
"57","Seharusnya kalok gaada kerjasama sama pihak gausah masang dong . Uang 500 saya melayang , gara gara gaada kejelasan kebijakan"
"58","Mudah byk diskon nya"
"59","Opsi bank utk transfer sangat minim, sehingga harus transfer antar bank dan membutuhkan waktu yg tidak sebentar karena memerlukan kliring sedangkan batas waktu pembayaran cukup singkat. Pembayaran sdh saya lakukan, dan tidak terkonfirmasi di pemesanan saya sehingga pemesanan harus dibatalkan dan uan...Ulasan LengkapOpsi bank utk transfer sangat minim, sehingga harus transfer antar bank dan membutuhkan waktu yg tidak sebentar karena memerlukan kliring sedangkan batas waktu pembayaran cukup singkat. Pembayaran sdh saya lakukan, dan tidak terkonfirmasi di pemesanan saya sehingga pemesanan harus dibatalkan dan uang transfer saya belum dikembalikan sampai sekarang"
"60","Katanya bisa mengubah tanggal check-in dan check-out tapi kok ini susah banget ya"
"61","Pelayanannya bagus"
"62","Bisa di tranfer ga ke agoda tunai biar tambah saldo gitu Mohon infonya ya Makasih"
